id_funcionario,id_loja,nome_funcionario,passaporte_funcionario,situacao_funcionario,cargo_funcionario,salario_funcionario
27,61,"Trujillo, Lakesha",1C23SVGC8,CONTRATADO,VENDEDOR,2.5452051274478434e-4
28,74,"Vialpando, Ana",X7G1JLD8C,CONTRATADO,GERENTE,0.001008870055476084
29,71,"Rubio, Laura",HOARPRETD,DESLIGADO,GERENTE,6.668953638212931e-4
30,72,"Salcido, Andrew",0TR4L37OD,CONTRATADO,GERENTE,1.615568046390928e-4
31,12,"Trujillo, Eduardo",6E2OLAKPT,CONTRATADO,VENDEDOR,5.587040930650331e-4
32,6,"Reeves, Patricia",4DKOW4RCA,DESLIGADO,VENDEDOR,4.68356361968403e-4
33,4,"Velasquez, Cesar",6EHB7SAQH,CONTRATADO,VENDEDOR,0.0010874806858095075
34,27,"Bustamante, Aide",0Q04TDKFN,CONTRATADO,VENDEDOR,4.968883222286666e-4
35,76,"Brionez, Omar",3JMRA3UPV,CONTRATADO,VENDEDOR,0.002046962351234351
36,28,"Pascual, Hector",NRJWKLDIP,CONTRATADO,VENDEDOR,2.471740834414959e-4
37,56,"Trujillo, Ashley",D20GNQ7NR,DESLIGADO,VENDEDOR,0.0010636912859472182
38,8,"Covarubias Rodriquez Jr, Stephvon",0FWKM32ZW,CONTRATADO,VENDEDOR,4.993305541574955e-5
39,8,"Villalpando, Daniel",OP1336OUF,CONTRATADO,VENDEDOR,6.203758143188816e-4
40,33,"Maldonado, Jose Luis",TBO98CKR5,CONTRATADO,VENDEDOR,7.847615201026202e-5
41,1,"Felix, Erika",G8GCWQZU5,CONTRATADO,VENDEDOR,8.972914023278256e-4
42,70,"Naranjo, Karina",EP10YJZ8T,CONTRATADO,GERENTE,8.71980544179678e-5
43,34,"Ramirez Cervantes, Pedro",2IWOP6OD4,CONTRATADO,GERENTE,0.001201065980160616
44,84,"Sandoval, Rodolfo",L1472WHGR,CONTRATADO,VENDEDOR,4.223653698922232e-4
45,67,"Warner, Ofelia",1D0EJUYI4,CONTRATADO,VENDEDOR,4.846042271535446e-4
46,20,"Meza Haro, Manuel",1BQ3MD9AT,CONTRATADO,GERENTE,0.0010117787923847844
47,81,"Martinez, Markus",58NN48U0L,CONTRATADO,VENDEDOR,4.8306643476892007e-4
48,89,"Sanchez, Brandon",W5DN97CMB,PESSOA JURIDICA,VENDEDOR,1.3119366466999056e-4
49,32,"Vasquez, Bianca",9PHXLQNR8,CONTRATADO,VENDEDOR,4.957830954175045e-4
50,54,"Robinson, Steve",0SZYD6DOM,CONTRATADO,VENDEDOR,2.966945429690023e-4
51,20,"Puebla, Flor",T74TTLTO2,CONTRATADO,VENDEDOR,3.407123730089888e-4
52,53,"Wilson, Angelo",PJ13V9ITO,PESSOA JURIDICA,VENDEDOR,2.2646359904781013e-4
53,100,"Mercado, Nicole",VTGOI7Z4Z,CONTRATADO,VENDEDOR,1.0160283350042925e-4
54,50,"Arellano Pablo, David",YLYZ8OICE,CONTRATADO,GERENTE,6.236935024622294e-4
55,21,"Romero, Liliana",JOKRRUGWQ,CONTRATADO,VENDEDOR,5.53266436589842e-4
56,69,"Waters, Jazmine",SJL5539AS,CONTRATADO,VENDEDOR,9.100631184371855e-4
57,52,"Melendez Mena, Mariadolores",7XYM8N01Y,CONTRATADO,VENDEDOR,1.1188240950214699e-4
58,6,"Gutierrez Diaz, Shaylene",XA7G0CHOX,CONTRATADO,VENDEDOR,0.0013389841913504794
59,53,"Argueta, Michael",YYCRR9UTW,CONTRATADO,VENDEDOR,5.017228677700807e-4
60,35,"Martinez-Salazar, Levi",FDDZYUA5V,PESSOA JURIDICA,GERENTE,2.471442446112633e-5
61,68,"Pino, Sonya",T7PMOI3RC,CONTRATADO,VENDEDOR,4.5029947906732564e-5
62,51,"Tafoya, Kevin",CGQ61IXU3,CONTRATADO,VENDEDOR,4.5039287543106567e-4
63,83,"Baylon, Olivia",Y4GGU2VEH,CONTRATADO,VENDEDOR,2.677669590339065e-4
64,27,"Lopez, Jesus",OBM88I3DY,CONTRATADO,GERENTE,1.2342748287203352e-4
65,89,"Zarate Gomez, Alejandra",W98LWEPE7,PESSOA JURIDICA,GERENTE,8.268984071574309e-4
66,64,"Archuleta, Ronnie",HLKIYEQCA,CONTRATADO,GERENTE,4.3018693857831993e-4
67,13,"Nava, Francisca",EBTVVWQ37,CONTRATADO,VENDEDOR,1.9645804810888116e-4
68,78,"Griego, William",2VW3XTA9O,CONTRATADO,GERENTE,3.0481592179981503e-4
69,47,"Gallegos, Crystal",5UWPECJAG,PESSOA JURIDICA,GERENTE,0.0014716323751182646
70,95,"Flores, Jacquelyn",ABW89E1K7,CONTRATADO,GERENTE,4.3354035316217436e-4
71,40,"Guerrero Munoz, Andrea",QL7FX0RS7,CONTRATADO,VENDEDOR,1.66847577609949e-4
72,96,"Mestas, Matthew",SMVZIDCNN,CONTRATADO,GERENTE,1.9396388214081527e-4
73,71,"Haughton, Dominque",JG2LT6FNE,CONTRATADO,VENDEDOR,3.2370244635451323e-4
74,30,"Porter, Clemente",720CGYAMD,PESSOA JURIDICA,GERENTE,1.5941468550661615e-4
75,51,"Orozco, Jorge",075DU32DS,CONTRATADO,VENDEDOR,4.2513656726289286e-4
76,65,"Ortiz-Perez, Devin",TE1HA7NCX,CONTRATADO,VENDEDOR,7.600830129942992e-4
77,9,"Morales, Jasmine",0EZRKH4ZV,CONTRATADO,GERENTE,5.0806730648685e-4
78,14,"Salazar, Jeaninne",QUASUCB7M,CONTRATADO,GERENTE,9.60003387182951e-5
79,49,"Atencio-Waring, Austin",4MKQUZ82F,CONTRATADO,VENDEDOR,2.814707409422446e-4
80,84,"Molina, Alejandro",5M4Z7E4P6,PESSOA JURIDICA,GERENTE,9.912283085286618e-5
81,51,"Sandoval, Brionna",BNBG59VAQ,CONTRATADO,GERENTE,7.651206105947495e-8
82,31,"Herrera, Nicholas",XC7EWQV7Z,CONTRATADO,VENDEDOR,0.0015933349750095849
83,3,"Covarrubias Gonzalez, Meagan",QFXCGQNZP,DESLIGADO,GERENTE,3.706161636691142e-4
84,73,"Lerma, Bryan",DK1BHTB1R,CONTRATADO,GERENTE,2.937461294013527e-5
85,47,"Fonseca, Andrew",BFOGXO1VO,DESLIGADO,VENDEDOR,1.0911627281457187e-4
86,9,"Olivares, Lori",OPFQ2G0SE,PESSOA JURIDICA,VENDEDOR,0.0012651100885424072
87,72,"Rasmussen, Maria",2SM6Y63M9,CONTRATADO,VENDEDOR,3.2930298222411163e-4
88,66,"Gonzales, Nicholas",BIBBDSV3E,PESSOA JURIDICA,GERENTE,1.8149512604925133e-4
89,45,"Fletcher, Anaid",JGRSEV220,CONTRATADO,VENDEDOR,1.3302168790251017e-4
90,55,"Gonzales, Stephanie",WP7XN2000,CONTRATADO,GERENTE,4.974180509309049e-4
91,35,"Smith, Isaac",U3KCFM7IB,CONTRATADO,GERENTE,0.001044680605033293
92,47,"Gutierrez, Carlos",N6T25P958,CONTRATADO,VENDEDOR,8.45600724220276e-5
93,83,"Martinez, Amber",UMX27UGVL,CONTRATADO,VENDEDOR,2.395437102764845e-4
94,50,"Ortiz, Jazmine",FDENM5W6S,PESSOA JURIDICA,VENDEDOR,5.413832105528165e-4
95,5,"Gomez, Abelino",K4TDSU83U,CONTRATADO,VENDEDOR,2.8838825940162005e-5
96,87,"Parra-Peralta, Rebeca",DA0QAU88K,CONTRATADO,GERENTE,1.1157368589192629e-4
97,47,"Marin, Jree",ONAANACB9,PESSOA JURIDICA,VENDEDOR,1.729522318964432e-4
98,39,"Rico, Macie",AOBICPLA7,CONTRATADO,VENDEDOR,3.404096435587455e-4
99,89,"Gallegos, Monica",4FD1HD2OR,PESSOA JURIDICA,VENDEDOR,3.6355882732379925e-4
100,24,"Arguijo, Timmothy",X6KYUQC4Q,PESSOA JURIDICA,VENDEDOR,7.82079877331853e-5
101,23,"Ramirez, Jorge",GE4BHQLYG,CONTRATADO,VENDEDOR,1.2287161629647017e-4
102,25,"Griego, Sean",3ZPBNNVLF,CONTRATADO,VENDEDOR,8.53700395463115e-5
103,64,"Andrade-Banuelos, Estevan",I78G9IL93,CONTRATADO,VENDEDOR,5.899540945551493e-4
104,30,"Rios, Benjamin",S4D3U2ERI,CONTRATADO,VENDEDOR,8.118259668014147e-4
105,17,"Polvon, Jim",JYAJD0TUS,CONTRATADO,GERENTE,1.8073166698354205e-5
106,98,"Atilano, Genesis",A1I15PGFV,DESLIGADO,VENDEDOR,1.9118146354117833e-4
107,76,"Gonzalez, Jose",1IZXDP68P,DESLIGADO,VENDEDOR,9.8293670485343e-4
108,26,"Martinez, Maria",U1YD90GGB,CONTRATADO,GERENTE,5.326628561894942e-4
109,55,"Quintana, Blanca",Z4HDPZP3L,CONTRATADO,VENDEDOR,4.382948074489832e-5
110,78,"Valdez Avalos, Gustavo",ZDSP2D9P5,CONTRATADO,VENDEDOR,7.368378159140025e-5
111,29,"Nava-Hernandez, Warren",0EBIPE69P,DESLIGADO,GERENTE,6.158329688925323e-6
112,93,"Godoy-Ferrales, Denisee",6QJK6JD2E,CONTRATADO,VENDEDOR,1.145487278699875e-4
113,87,"Esquibel, Christopher",2BI0C2JJJ,CONTRATADO,VENDEDOR,1.156805259235019e-5
114,47,"Evangelista-Romero, Shelina",DPE74IV89,PESSOA JURIDICA,VENDEDOR,2.0065654778827292e-4
115,70,"Chavez Ugues, Elena",K75T1WKJJ,CONTRATADO,GERENTE,4.4455606863906194e-5
116,45,"Silva Rodriguez, Saira",JFEE9XM8O,CONTRATADO,VENDEDOR,1.4589024965576552e-4
117,49,"Figueroa, Melanie",BYMAFZLL9,CONTRATADO,VENDEDOR,1.3416697643697263e-4
118,93,"Kowalski, Christopher",QUR3CCJT4,CONTRATADO,GERENTE,0.001116240939430733
119,91,"Arellano, Miguel",DWC18F4LO,CONTRATADO,VENDEDOR,4.155828755709034e-4
120,33,"Arfsten, Hunter",J7Q1S7YPA,CONTRATADO,VENDEDOR,5.670508128983978e-6
121,46,"Avitia, Angelo",O14GWD98K,CONTRATADO,GERENTE,2.2141203694045546e-4
122,41,"Barajas Morales, Karladejesus",EFW55W20D,CONTRATADO,VENDEDOR,1.379991155111105e-4
123,34,"Mora, Emmily",V9AN89QCG,CONTRATADO,VENDEDOR,3.047118845057834e-4
124,93,"Ramirez, Carlos",KH4XFXNDJ,CONTRATADO,GERENTE,3.68110103532672e-5
125,21,"Flores, Eduardo",4MC4QKYTS,PESSOA JURIDICA,VENDEDOR,1.2307943608611823e-4
126,36,"Carranco, Denecio",PGN2BQLY5,CONTRATADO,VENDEDOR,5.129084657709647e-4
127,42,"Castorena, Susana",WWDT1NQ6L,CONTRATADO,VENDEDOR,2.1571227107197046e-4
128,15,"Lopez, Carter",SRP4SYV0J,DESLIGADO,GERENTE,8.581953390354786e-4
129,50,"Borja, Marki",Y6ELSREVQ,CONTRATADO,VENDEDOR,6.132735833189585e-4
130,17,"Flores Roman, Samantha",IMZHNRCTB,CONTRATADO,VENDEDOR,5.100580952893545e-4
131,26,"Jimenez, Ana",XLU94M8ZQ,CONTRATADO,VENDEDOR,5.004521724853487e-4
132,47,"Granillo, Emilio",UV4PAPBT8,CONTRATADO,VENDEDOR,5.928865439853765e-4
133,81,"Olivas, Carlos",WQZJA7O21,CONTRATADO,GERENTE,3.893086977178005e-4
134,98,"Garcia, Pedro",HLZE1LT1K,CONTRATADO,VENDEDOR,3.395242298413323e-4
135,69,"Jacobs, Edward",KG205DDIL,CONTRATADO,GERENTE,1.9202105328440668e-4
136,25,"Dominguez, Jesus",H8BAQYYX1,CONTRATADO,VENDEDOR,2.0246142234723973e-4
137,27,"Machado, Destinee",BVSOBHCUC,CONTRATADO,VENDEDOR,2.013817671686411e-5
138,88,"Fowler, Emily",EK7X17ISM,CONTRATADO,VENDEDOR,4.6995396463382736e-4
139,40,"Evangelista, Alyssa",M9GHAZIZB,PESSOA JURIDICA,VENDEDOR,6.097308285534382e-5
140,25,"Garcia, Chantal",Q6SPMCWEZ,CONTRATADO,VENDEDOR,3.050656866114188e-4
141,18,"Rodriguez, Alisha",4Z45F2M3O,CONTRATADO,VENDEDOR,7.927794553003408e-4
142,39,"Mendieta, Damien",3VI1DXPRI,PESSOA JURIDICA,VENDEDOR,0.001342429148371491
143,37,"Gandara, Fabian",KNNS00LBM,CONTRATADO,VENDEDOR,1.8029776096825728e-5
144,6,"Lopez, Christopher",TZICS2PWJ,CONTRATADO,GERENTE,5.133805606142513e-5
145,38,"Gomez, Nikki",QBUD5WI2P,CONTRATADO,VENDEDOR,2.8348479269254694e-4
146,79,"Sanchez, Desiree",L0BSWAAT7,DESLIGADO,GERENTE,0.001067533691922083
147,44,"Leyba, Selena",7DDLZ2MP6,CONTRATADO,VENDEDOR,5.075193663891745e-4
148,76,"Rodriguez-Orozco, Maria",0WJMMGMPP,CONTRATADO,VENDEDOR,5.740426048300363e-4
149,1,"Flores Ortega, Juan",7P60FRV4Y,CONTRATADO,VENDEDOR,1.7555161621421578e-4
150,98,"Garcia, Renee",OUXZ1LZ0D,CONTRATADO,VENDEDOR,0.001207933041986822
151,94,"Chavez Torres, Jose",UOEPEMXLS,PESSOA JURIDICA,VENDEDOR,3.6078247724283225e-4
152,78,"Trujillo, Angelina",VB1Y4HSVP,CONTRATADO,VENDEDOR,2.1724433042109013e-4
153,12,"Gonzales, Felicia",X3PIH6JL9,CONTRATADO,VENDEDOR,5.519338738005211e-4
154,41,"Mugica, Josue",P9V5ATSFZ,CONTRATADO,GERENTE,5.546822238617189e-4
155,96,"Rojas, Steven",ZLYDZQAR5,CONTRATADO,VENDEDOR,3.9317262543547637e-4
156,40,"Barcelo, Judybet",3RXBUMHPN,CONTRATADO,VENDEDOR,5.80799828436146e-4
157,88,"Torrez, Dominic",RI0VX6NX4,CONTRATADO,VENDEDOR,1.7267797999083996e-4
158,18,"Carrillo, Reyna",LQGE9LV5F,DESLIGADO,VENDEDOR,4.617307965873723e-5
159,31,"Fuller, Meliton",AWLYAZQ4Y,CONTRATADO,VENDEDOR,2.754479041323066e-4
160,16,"Andrade Mendoza, Karen",P8YKVN124,CONTRATADO,VENDEDOR,2.0271700695157052e-4
161,39,"Lopez, Christian",64S99V507,CONTRATADO,VENDEDOR,5.310633219778538e-5
162,63,"Arana-Gonzalez, Fender",FUTYHFE1T,CONTRATADO,GERENTE,9.465376232958144e-5
163,79,"Flores, Rafael",9R2PC98PA,CONTRATADO,VENDEDOR,9.715016335181085e-5
164,46,"De La Paz Romero, Margaret",445PKHKJ3,CONTRATADO,GERENTE,3.2330795818876005e-5
165,2,"Lucero, Luis",PZC7LQVRN,CONTRATADO,VENDEDOR,2.7891954292587015e-4
166,67,"Lira, Francisco",POYGS72DY,CONTRATADO,GERENTE,6.276106178424455e-4
167,48,"Taha, Dalia",9EDWH3NT6,PESSOA JURIDICA,VENDEDOR,1.3406716920435428e-4
168,43,"Bobian, Ana",2RUJRCBOD,DESLIGADO,VENDEDOR,6.087778011435153e-4
169,39,"Bauer-Rivera, Alexander",KOJNJRP52,CONTRATADO,GERENTE,3.987526336461785e-4
170,20,"Hinojos Vazquez, Oscar",LPG6A1A5Y,CONTRATADO,GERENTE,6.035402230918408e-6
171,91,"Robles Bonilla, Jaime",3Z06NLZMP,CONTRATADO,VENDEDOR,0.00022827746290713548
172,77,"Herrera Bustillos, Carlos",EAGU0YVRQ,CONTRATADO,VENDEDOR,1.8409091662615538e-4
173,75,"Trujillo, Mariah",B9WXB8OAE,DESLIGADO,VENDEDOR,1.022022046148777e-4
174,74,"Ortega, Brenda",YT4DKV3XW,CONTRATADO,GERENTE,3.668184485286474e-5
175,84,"Acosta, Miranda",4JOD5Q37I,CONTRATADO,VENDEDOR,5.30523814244156e-4
176,46,"Molina, Eric",T5VM8J3QP,CONTRATADO,VENDEDOR,9.961217511445284e-5
177,46,"Rivera, Valentin",JPOD541R7,CONTRATADO,GERENTE,2.299893192946911e-4
178,65,"Zavala, Marisol",0A3ROUA2A,CONTRATADO,VENDEDOR,2.176114492206395e-5
179,20,"Gisi, Abraham",D0OKI5D3H,DESLIGADO,VENDEDOR,9.559507463127374e-5
180,9,"Zazueta-Morales, Tania",Q1PAI86WV,CONTRATADO,VENDEDOR,3.6745757496166716e-4
181,14,"Ponce De Leon, Sergio",T3K2SC9CY,DESLIGADO,VENDEDOR,7.976539909503557e-4
182,24,"Dominguez, Leila",G9MD14WA8,CONTRATADO,GERENTE,0.0012887158124966817
183,11,"Soto, Sarah",Z29FCL7KZ,CONTRATADO,GERENTE,6.89051906726259e-4
184,55,"Torres Jr, Leeana",CQCCDDLGQ,DESLIGADO,VENDEDOR,7.087370477280714e-4
185,42,"Reyes, Julio",ET6U6TNGN,CONTRATADO,GERENTE,1.4853127542883158e-4
186,21,"Herrera, Alegra",97TNRKJPE,DESLIGADO,VENDEDOR,3.234880719165851e-4
187,79,"Renteria, Angelo",POPW2LKM8,CONTRATADO,VENDEDOR,1.2281725526810796e-6
188,79,"Vecellio, Nicholas",FUTE99Q54,CONTRATADO,GERENTE,1.153169402654809e-4
189,41,"Aguilar, Leonor",I7N3H2U2K,CONTRATADO,VENDEDOR,9.529439813884642e-4
190,8,"Medina, Miriam",FU64SYO00,CONTRATADO,VENDEDOR,2.466006590053439e-4
191,81,"Vargas, Jesus",A60T4SS8C,CONTRATADO,VENDEDOR,0.0013625461965127185
192,16,"Landa, Adrian",RHO209VTP,CONTRATADO,VENDEDOR,2.664849249646068e-4
193,58,"Mendoza, Desirae",4YL0K2UKC,CONTRATADO,VENDEDOR,0.0018858058628107958
194,57,"Candela, Danielle",LOG4JEX7D,CONTRATADO,VENDEDOR,0.0014844375929886347
195,34,"Medina, Shastina",RPNQJ2ZWQ,CONTRATADO,GERENTE,5.68403539027939e-4
196,47,"Adame, Joana",LWG0RUQCW,CONTRATADO,GERENTE,6.00947159495125e-4
197,83,"Medina, Daisy",H9VTPUXIG,CONTRATADO,GERENTE,5.717983152717352e-5
198,90,"Diaz, Miranda",OVI4EY3M4,CONTRATADO,VENDEDOR,8.088597448131482e-5
199,62,"Castro-Romero, Adrian",F5PPBFOLT,CONTRATADO,VENDEDOR,3.763499930500984e-5
200,7,"Saiz, Ramon",PROXBUT15,CONTRATADO,VENDEDOR,3.448418091814567e-4
201,10,"Tapia, Kyle",9PDL00L80,CONTRATADO,VENDEDOR,4.5221420459581625e-4
202,88,"Trujillo, Raul",JYGK6BD7B,CONTRATADO,VENDEDOR,4.04862087948208e-4
203,73,"De La Torre, Andrea",IFZBQIMCR,CONTRATADO,VENDEDOR,9.31496055109232e-4
204,20,"Carranza, David",KAO8K552I,CONTRATADO,VENDEDOR,5.547117977641086e-4
205,30,"Garza, Lisa",R5WQOUP8D,CONTRATADO,GERENTE,0.0014142088492937663
206,50,"Maldonado, Yngwie",6J57MJNRZ,CONTRATADO,GERENTE,1.3260802645236253e-4
207,39,"Leyba, Alicia",DJ4HF60AC,CONTRATADO,VENDEDOR,8.958015646785498e-5
208,6,"Garcia-Churape, Codee",YBBLQ2SB1,CONTRATADO,GERENTE,5.127419970761587e-4
209,17,"Valdez, Jorge",BBYKGW6AF,CONTRATADO,GERENTE,0.001927049608427792
210,66,"Alvarez, Angelo",05ZFX258Y,CONTRATADO,VENDEDOR,3.5168054139423857e-4
211,24,"Lopez, Lindsey",4LPFVM591,CONTRATADO,VENDEDOR,3.6081769503653054e-5
212,76,"Diaz Quezada, Jared",0OVOB1O82,CONTRATADO,GERENTE,3.948961766077827e-4
213,24,"Messerich, Elizabeth",FH7H443TW,CONTRATADO,GERENTE,8.023999686555472e-5
214,56,"Ascencio, Sarah",LWFO2LHNK,PESSOA JURIDICA,VENDEDOR,2.816195819731021e-4
215,77,"Martinez, Griselda",NGO95GKWF,CONTRATADO,VENDEDOR,2.729390924796462e-4
216,65,"Anderson, Fernando",G6TZW1LGA,CONTRATADO,GERENTE,4.1340439690459266e-4
217,82,"Burciaga, Fernanda",86ZLJUYJQ,DESLIGADO,GERENTE,2.2084784656763078e-4
218,45,"Vigil, Stibe",8FHDJHY6X,DESLIGADO,GERENTE,1.6056056803229098e-4
219,99,"Maez, Christian",HTZSY4ZTV,CONTRATADO,GERENTE,5.104499453942145e-4
220,12,"Madera, Olga",SHE9K1PLK,CONTRATADO,GERENTE,9.904216844588519e-5
221,5,"Garcia, Brandon",6E2DJ6CM4,DESLIGADO,VENDEDOR,2.363801682367921e-4
222,81,"Arguello, Isabel",2T95092SC,PESSOA JURIDICA,GERENTE,8.604908261622139e-5
223,70,"Mendoza-Salazar, Deysi",TM9ZT6H4A,DESLIGADO,VENDEDOR,2.617212764918804e-4
224,86,"Whalen, Kara",ANY2VPIU4,CONTRATADO,VENDEDOR,9.364439025521279e-5
225,27,"Rodriguez, Andrea",PW52OWPZU,CONTRATADO,GERENTE,1.9016785845160484e-4
226,24,"Lucero, Michelle",NSFJTZSB7,PESSOA JURIDICA,VENDEDOR,2.0661669429391624e-4
227,69,"Guillen, Denisse",3TOOXMO4X,CONTRATADO,VENDEDOR,3.812869693893716e-4
228,89,"Marioni, Janese",99VM08G6T,CONTRATADO,GERENTE,3.217578664253999e-4
229,7,"Martinez, Martin",YWW0JUKYE,CONTRATADO,VENDEDOR,7.7555101364851e-5
230,91,"Martinez, Alex",ZTWCP39VS,CONTRATADO,GERENTE,1.916670770837328e-5
231,12,"Gurule, Alicia",FS6L7EOLJ,PESSOA JURIDICA,VENDEDOR,8.858108517525348e-6
232,100,"Silva, Christian",DOZSW09TL,CONTRATADO,VENDEDOR,9.161404725164175e-5
233,41,"Tabares, Steve",9NDWJ31MP,CONTRATADO,GERENTE,1.593239462003112e-4
234,54,"Rodriguez, Mariah",0BVJB760A,CONTRATADO,VENDEDOR,8.749252272026037e-4
235,74,"Garcia Rivas, Korrine",V09VOP6KX,CONTRATADO,GERENTE,7.932984172961809e-4
236,75,"Barajas, Priscila",XLLOX73SN,CONTRATADO,VENDEDOR,7.34968638047576e-5
237,95,"Johnston, Hannah",H2OO6JSF9,CONTRATADO,VENDEDOR,1.0904455431648271e-4
238,37,"Dominguez, Alexa",2SRZ76MAQ,CONTRATADO,VENDEDOR,0.002126033133895789
239,88,"Nevarez, Brenda",1U8CI22PK,CONTRATADO,VENDEDOR,2.578085150569678e-4
240,23,"Arenas Gomez, Abraham",PHIXLN98T,CONTRATADO,VENDEDOR,3.9030509254146106e-4
241,4,"Galvan, Myriah",37OYRFZXH,DESLIGADO,VENDEDOR,0.0016922614063557878
242,41,"Garcia-Schlosser, Shiann",45BZ2N40K,CONTRATADO,GERENTE,1.944324327632785e-4
243,99,"Saenz Alonso, Keily",AWIXH52XU,CONTRATADO,GERENTE,4.1606139054704204e-4
244,33,"Campos, Mary",9UOTOMYEH,CONTRATADO,VENDEDOR,1.2698297947645188e-5
245,36,"Maestas, Luis",SGCH4QNZ4,CONTRATADO,VENDEDOR,3.467281129043151e-4
246,11,"Finn, Leslie",B9E3JDDYT,CONTRATADO,GERENTE,4.3824318844908067e-4
247,4,"Martinez, Alexa",JSGLBU67T,CONTRATADO,VENDEDOR,4.589863494038582e-6
248,100,"Reyes, Augustina",XFVKJ0YBF,CONTRATADO,GERENTE,5.273823432456304e-4
249,78,"Gonzales, Josiah",DD30N0VIV,CONTRATADO,GERENTE,6.57720398157835e-6
250,1,"Roacho, Nadine",0K18WO4PW,DESLIGADO,GERENTE,7.254522904417612e-4
251,68,"Sanchez, Refugio",6PT9SFDZN,CONTRATADO,VENDEDOR,4.015623930306725e-4
252,23,"George, Jose",PY2LV2HNQ,CONTRATADO,GERENTE,7.432015685560308e-4
253,84,"Martinez, Nicole",4894A8UCH,PESSOA JURIDICA,VENDEDOR,2.9957539574924116e-4
254,66,"Sagert, Angel",M3E7L97I8,PESSOA JURIDICA,VENDEDOR,5.872489885311113e-4
255,55,"Santistevan, Alfredo",F0GKORIIF,CONTRATADO,GERENTE,6.428911715409852e-4
256,2,"Garcia, Christopher",9WDB492A9,CONTRATADO,VENDEDOR,3.144640486519385e-4
257,75,"Gedstad, Hector",JAERVJYQU,CONTRATADO,GERENTE,8.426286969333887e-5
258,52,"Rosas-Gutierrez, Perla",F56MSVF10,CONTRATADO,VENDEDOR,2.0194344129413367e-4
259,78,"Soto, Evelyn",H63RP5LHY,CONTRATADO,VENDEDOR,2.1314452681690454e-4
260,45,"Rojas, Jose",C6TKF7G43,CONTRATADO,GERENTE,3.376668814401675e-4
261,30,"Rocha-Vega, Brittany",LUHOI4W00,CONTRATADO,VENDEDOR,7.464493095538713e-4
262,49,"Morado, Refugio",ASPMO307B,CONTRATADO,GERENTE,6.930180615724445e-4
263,41,"Mendez, Carleigh",RXCF9DFH1,CONTRATADO,VENDEDOR,4.121708698402692e-4
264,9,"Diaz Burciga, Laura",THAVH7GH3,CONTRATADO,VENDEDOR,9.468035640263602e-5
